date,mean_temperature,city
1978-06-01,27.15,belem
1978-07-01,26.94,belem
1978-08-01,27.04,belem
1978-09-01,27.0,belem
1978-10-01,26.96,belem
1978-11-01,27.23,belem
1978-12-01,27.32,belem
1979-01-01,27.08,belem
1979-02-01,,belem
1979-03-01,25.79,belem
1979-04-01,,belem
1979-05-01,26.71,belem
1979-06-01,26.7,belem
1979-07-01,,belem
1979-08-01,27.4,belem
1979-09-01,27.58,belem
1979-10-01,26.97,belem
1979-11-01,27.67,belem
1979-12-01,27.45,belem
1980-01-01,26.89,belem
1980-02-01,25.82,belem
1980-03-01,26.62,belem
1980-04-01,27.21,belem
1980-05-01,27.84,belem
1980-06-01,27.54,belem
1980-07-01,27.24,belem
1980-08-01,27.21,belem
1980-09-01,27.4,belem
1980-10-01,27.34,belem
1980-11-01,27.5,belem
1980-12-01,27.42,belem
1981-01-01,,belem
1981-02-01,26.28,belem
1981-03-01,27.58,belem
1981-04-01,28.04,belem
1981-05-01,27.39,belem
1981-06-01,27.31,belem
1981-07-01,26.94,belem
1981-08-01,27.25,belem
1981-09-01,27.13,belem
1981-10-01,27.38,belem
1981-11-01,27.77,belem
1981-12-01,27.61,belem
1982-01-01,26.6,belem
1982-02-01,26.76,belem
1982-03-01,26.98,belem
1982-04-01,27.21,belem
1982-05-01,27.51,belem
1982-06-01,27.21,belem
1982-07-01,27.03,belem
1982-08-01,26.97,belem
1982-09-01,26.98,belem
1982-10-01,,belem
1982-11-01,,belem
1982-12-01,,belem
1983-01-01,,belem
1983-02-01,,belem
1983-03-01,,belem
1983-04-01,,belem
1983-05-01,,belem
1983-06-01,,belem
1983-07-01,,belem
1983-08-01,,belem
1983-09-01,,belem
1983-10-01,,belem
1983-11-01,,belem
1983-12-01,,belem
1984-01-01,,belem
1984-02-01,,belem
1984-03-01,,belem
1984-04-01,,belem
1984-05-01,,belem
1984-06-01,,belem
1984-07-01,,belem
1984-08-01,,belem
1984-09-01,,belem
1984-10-01,,belem
1984-11-01,,belem
1984-12-01,,belem
1985-01-01,,belem
1985-02-01,,belem
1985-03-01,,belem
1985-04-01,,belem
